danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
0.706,0.236,-16.823,0.0728,0.876,0.871,0.155,0.53,116.916,2Itic2gTFPR2VEXnOoHtLE,150647,3.0
0.611,0.572,-6.117,0.0279,0.212,0.0834,0.114,0.65,87.105,0veisgIo3PMa8gcqW74VG0,162847,2.0
0.662,0.466,-18.043,0.0416,0.737,0.895,0.0953,0.821,112.852,4FYg3hIs6N6Z1HZdBCBENQ,157440,1.0
0.165,0.23,-13.036,0.0323,0.000292,0.948,0.109,0.152,140.46,3Cm0gwfjTHTpf7Kqp19A84,174800,3.0
0.791,0.532,-11.243,0.0848,0.0148,0.928,0.125,0.791,103.492,0LBxjfc67QWggj6D83kpEn,160659,3.0
0.705,0.318,-18.873,0.0448,0.0102,0.914,0.11,0.319,128.195,7DWluos5QyK4UN7YceOpxm,169795,3.0
0.521,0.551,-11.873,0.0748,0.00958,0.92,0.223,0.961,109.179,4KoWQENHKUlg9jNeUMYk9I,169665,2.0
0.373,0.209,-21.786,0.0336,0.87,0.903,0.0855,0.423,154.617,1wcSBHoPA2B2OcS36Io7LL,155402,3.0
0.66,0.843,-7.885,0.0461,0.0157,0.898,0.0507,0.956,108.553,0h3JNXnegiGGRiKCU9IStG,134258,3.0
0.555,0.393,-14.126,0.0751,0.024,0.909,0.0952,0.523,149.074,7zbFR0BvTeKb9AzghkRWYf,177135,3.0
0.485,0.57,-11.102,0.174,0.00467,0.00466,0.322,0.128,97.884,6tQNAPuCNDE2faIeNYyYBm,151547,1.0
0.317,0.117,-17.581,0.0347,0.961,0.607,0.309,0.156,78.22,2npli2MR0svATJRUwBMjve,838587,3.0
0.611,0.572,-6.117,0.0279,0.212,0.0834,0.114,0.65,87.105,2pzRaUEpnVW9rnhn5lkU5E,162847,3.0
0.486,0.723,-5.995,0.0419,0.127,0.574,0.316,0.819,107.364,3Vj1di7VHIRV7dRaY2tiwZ,144378,3.0
0.693,0.434,-9.333,0.0379,0.0282,0.881,0.112,0.175,192.07,2ofljuks7ATmKv3AC4nL2T,157022,3.0
0.538,0.463,-14.745,0.0291,0.0175,0.921,0.129,0.524,83.859,2nit7BZ89wyEDtF77TnPz7,147278,3.0
0.727,0.706,-6.986,0.0386,0.000539,0.904,0.105,0.189,128.645,7FPIWiBxtGD3HVQCKKJqSR,103600,3.0
0.559,0.857,-7.691,0.0403,0.00909,0.729,0.331,0.898,129.442,2a6Xta3SSZgVfGgPWlhaiR,155202,3.0
0.546,0.757,-5.356,0.0304,0.0274,0.00283,0.352,0.968,102.964,1Eq80FQZoR8yZarWlhZ6H3,110627,3.0
0.508,0.381,-12.225,0.0369,0.788,0.158,0.113,0.678,172.096,5eMJa7Y86hQwjdvJkqxqRJ,127720,3.0
0.623,0.898,-6.119,0.0621,0.0139,0.874,0.0942,0.0533,100.967,37GEoObPI2xpkoJ6y8EeVq,87641,3.0
0.239,0.27,-10.644,0.0416,0.74,0.04,0.0857,0.388,150.814,3YJCrfbviPAe03dtAWaoh8,178469,3.0
0.501,0.499,-9.864,0.0395,0.746,0.893,0.103,0.804,154.275,77BU0woMROhkrE9GI6rkhd,208771,3.0
0.601,0.353,-9.707,0.0267,0.117,0.88,0.116,0.374,83.437,0PNQuqPX0FwN5Xf0nNJz7R,191364,2.0
0.522,0.474,-15.171,0.0293,0.897,0.933,0.2,0.567,106.082,00dOaV68khvXpWjuovxBI6,167827,3.0
0.581,0.617,-12.971,0.0401,0.776,0.939,0.331,0.636,110.656,1R7w3UzcdVrojvjwhysImo,174493,2.0
0.431,0.395,-13.785,0.0337,0.914,0.937,0.292,0.747,115.472,4ysattp2uj58vym6BQGi9a,204333,1.0
0.164,0.0119,-29.18,0.045,0.989,0.928,0.124,0.151,63.614,3ceYSFtKn8jYH48fHFWS8z,264960,1.0
0.308,0.14,-20.653,0.0447,0.892,0.00517,0.148,0.368,136.933,07NsQVjC5CodpQLXskI4SY,500480,2.0
0.48,0.111,-26.662,0.0396,0.905,0.751,0.115,0.673,142.948,4Fns04ruip648hUPAHct1k,190000,1.0
0.307,0.175,-21.976,0.042,0.828,0.834,0.0959,0.226,96.863,132JBjKGv24gN1LpL4X0ho,235907,1.0
0.229,0.0885,-26.207,0.046,0.994,0.0316,0.0973,0.0338,79.554,2qQnJu5B1OxHjB8yJqO0aA,162960,0.0
0.606,0.671,-6.684,0.0423,0.575,0.0,0.801,0.78,91.115,0hStFLExoLzsAVg3n62Xto,370987,3.0
0.807,0.497,-8.997,0.131,0.136,0.51,0.0742,0.375,170.089,5Nl7tMwqnh5NzHePSYpJff,443294,0.0
0.215,0.805,-11.617,0.0496,0.664,0.00912,0.413,0.237,94.324,47R39zODaZHZ1ultS39SfG,93910,3.0
0.576,0.665,-4.86,0.0298,0.728,9.1e-05,0.171,0.946,107.748,4h8toTqY4AGsjV7nNAlkY3,225697,3.0
0.447,0.83,-6.579,0.0372,0.000191,0.252,0.39,0.374,94.975,0yIliXQC4oYdpYK6yQoklU,323200,3.0
0.498,0.485,-8.486,0.0344,0.774,6.92e-05,0.0791,0.808,160.642,4sZZ0DjokQvzuKIzfIum0V,197080,3.0
0.709,0.659,-11.886,0.0793,0.324,0.00033,0.0912,0.875,149.988,6V9OXuLDz5HRs0OSjMQV1p,243252,2.0
0.574,0.129,-15.034,0.052,0.975,0.0781,0.0985,0.193,132.027,0uAPvEHxQfNXnMAUnIzc2h,89113,3.0
0.368,0.976,-8.017,0.0666,3.13e-05,0.536,0.381,0.144,140.121,6ShNo6lVWtlrz1SwH91aDC,276067,4.0
0.702,0.62,-11.131,0.923,0.659,0.0,0.508,0.672,82.98,6h5PHsOCNQ4zHdjKOeOB66,195586,3.0
0.557,0.951,-4.061,0.0627,0.653,0.0515,0.34,0.754,116.352,55ICPR1ncqzs1iqkBlMdd2,183148,1.0
0.285,0.341,-17.131,0.0576,0.878,0.908,0.147,0.131,98.484,4tQlirY9aO9beBTSnWY2QA,629627,1.0
0.29,0.351,-15.951,0.0495,0.888,0.899,0.169,0.154,99.712,1EtfIiWByEpsWUFQuqG7nw,635000,1.0
0.29,0.351,-15.951,0.0495,0.888,0.899,0.169,0.154,99.712,082djQTzfsmLTImocl6ZKp,635000,1.0
0.29,0.351,-15.951,0.0495,0.888,0.899,0.169,0.154,99.712,70lFeGx9tUy6eJQgC2UoFx,635000,1.0
0.289,0.371,-15.923,0.0535,0.886,0.916,0.155,0.129,98.752,06EWVRbyAgw0UqnOr9jHvl,632613,3.0
0.0955,0.495,-7.86,0.0401,0.175,0.0024,0.0603,0.0727,181.694,5oxRYeyoASHv4RadJpu01G,136173,1.0
0.346,0.128,-18.576,0.0462,0.976,0.76,0.0767,0.23,90.571,0ZeCtzsVSeW7fe86jBVZcE,412000,1.0
0.377,0.447,-15.733,0.0515,0.698,0.752,0.0936,0.11,120.232,1WHdY0y258BMGZI92IVbjb,527600,3.0
0.574,0.565,-5.216,0.0398,0.621,0.634,0.158,0.915,180.021,7aDjuvLGYGRdYedgmS0mEB,143804,1.0
0.119,0.0025,-36.344,0.0492,0.927,0.951,0.0875,0.122,72.403,2OfwU0KGgC3eLNRASJK88w,115435,2.0
0.589,0.357,-15.77,0.046,0.979,0.841,0.301,0.557,105.208,1WmLTTqbuBo9V0JlNJI2Ov,154520,2.0
0.589,0.357,-15.77,0.046,0.979,0.841,0.301,0.557,105.208,4eK1yW7fb2dtch1dUmbMkm,154520,1.0
0.367,0.387,-13.652,0.0461,0.793,0.879,0.183,0.19,111.928,7DFAFjg9X8AjCgkkcAKN9t,555813,1.0
0.38,0.342,-15.793,0.045,0.91,0.932,0.0722,0.239,113.481,6b0xw8reaev6tJ3io2C0fx,548387,1.0
0.38,0.342,-15.793,0.045,0.91,0.932,0.0722,0.239,113.481,3A9RyAz7qJtdYpSfAt5oGU,548387,1.0
0.304,0.339,-15.473,0.0447,0.863,0.936,0.102,0.205,108.434,4XVanUXzmZ4sMafKw42776,570200,1.0
0.365,0.386,-13.718,0.0467,0.796,0.888,0.109,0.182,111.274,24YToibKBTkqL2zswhZKVU,564800,1.0
0.346,0.286,-16.796,0.0427,0.952,0.938,0.16,0.283,113.551,0PN22pCvLOfxi9jQEcihDn,537667,0.0
0.359,0.271,-18.327,0.0718,0.623,0.933,0.674,0.155,106.016,5FuWtddFpnYtscsHwYvQia,605811,1.0
0.359,0.288,-20.714,0.0722,0.884,0.888,0.277,0.205,103.032,1scmyN5bUljanJWCoBIXMf,614507,1.0
0.288,0.225,-21.139,0.0399,0.832,0.893,0.085,0.177,97.401,15oyl8STBCG3TL1AwvK59m,644520,1.0
0.356,0.433,-15.195,0.0573,0.827,0.947,0.0861,0.257,115.01,6xOhVe2h0W7OzSFmK7hoGX,528573,0.0
0.647,0.519,-5.918,0.0603,0.567,0.00721,0.665,0.968,162.599,4Wx6nAKyI67imaGLcoEFNw,202266,3.0
0.761,0.415,-10.49,0.0737,0.501,0.924,0.0602,0.949,159.863,4a8REVL5ufKukz5zQnI7Ej,200133,4.0
0.62,0.233,-17.215,0.963,0.587,0.0,0.244,0.494,69.259,1JzLN3HR8oF6yaXMaojrH8,188630,4.0
0.735,0.322,-17.39,0.961,0.61,0.0,0.164,0.46,83.553,1pVgewoEgARhHCqOp43O9g,186189,4.0
0.659,0.221,-16.786,0.96,0.578,0.0,0.69,0.406,94.04,5BRmt5bPra5MvbayGErIXy,185021,4.0
0.665,0.22,-17.009,0.957,0.55,0.0,0.337,0.34,96.403,1DF4HbvvLBD1w31UvAg9Tk,186821,2.0
0.752,0.22,-16.811,0.0865,0.991,0.834,0.0941,0.54,109.316,1MHsgtCCUWJsAPyriBqWlu,88895,4.0
